id,name,age,score
28385,Diana Garcia,22,34.11
28386,Heidi Brown,30,94.43
28387,Alice Smith,70,57.05
28388,Alice Davis,37,19.78
28389,Ivan Johnson,67,37.95
28390,Judy Miller,30,34.85
28391,Eve Brown,26,97.39
28392,Grace Smith,70,37.18
28393,Charlie Jones,80,92.23
28394,Ivan Johnson,19,48.47
28395,Bob Johnson,66,37.65
28396,  Diana Smith  ,41,64.31
28397,  Bob Brown  ,24,38.2
28398,Grace Rodriguez,45,20.69
28399,Ivan Rodriguez,49,57.23
28400,Alice Rodriguez,36,
28401,  Alice Wilson  ,70,
28402,  Judy Miller  ,75,83.3
28403,Diana Davis,43,62.89
28404,Eve Jones,58,5.74
28405,Frank Rodriguez,54,
28406,Judy Davis,24,88.75
28407,Grace Rodriguez,31,16.89
28408,Diana Smith,76,6.87
28409,Grace Jones,73,17.5
28410,Alice Wilson,51,74.77
28411,  Bob Davis  ,73,
28412,Charlie Garcia,63,24.31
28413,Eve Smith,79,76.98
28414,Judy Rodriguez,54,78.25
28415,Judy Davis,67,65.07
28416,Grace Johnson,54,95.87
28417,Heidi Miller,36,0.88
28418,Bob Smith,37,62.19
28419,Heidi Johnson,30,0.97
28420,Ivan Jones,26,14.43
28421,Eve Davis,68,92.48
28422,Bob Johnson,40,33.69
28423,  Judy Davis  ,19,21.82
28424,Bob Davis,,13.71
28425,Frank Smith,65,78.92
28426,Judy Wilson,55,60.07
28427,Eve Rodriguez,68,54.79
28428,Heidi Rodriguez,66,26.31
28429,Bob Rodriguez,47,84.62
28430,Alice Williams,23,21.33
28431,  Bob Wilson  ,,14.37
28432,  Judy Williams  ,74,8.48
28433,Grace Smith,41,77.0
28434,  Judy Wilson  ,43,77.99
28435,Grace Davis,34,42.8
28436,Charlie Garcia,46,62.82
28437,Frank Garcia,29,58.98
28438,Diana Wilson,73,60.68
28439,Eve Brown,53,99.05
28440,Alice Rodriguez,62,48.98
28441,Heidi Garcia,48,39.33
28442,Grace Rodriguez,41,85.34
28443,Bob Williams,77,48.19
28444,  Heidi Smith  ,47,9.97
28445,Judy Johnson,35,92.59
28446,Judy Williams,48,68.63
28447,Bob Brown,49,15.81
28448,Ivan Jones,35,78.57
28449,  Grace Williams  ,30,56.04
28450,Alice Rodriguez,20,85.39
28451,Frank Smith,77,69.8
28452,Alice Williams,61,88.55
28453,  Grace Garcia  ,67,83.15
28454,Bob Smith,50,90.33
28455,Heidi Wilson,78,73.18
28456,Frank Williams,71,53.02
28457,Ivan Miller,78,84.29
28458,Charlie Rodriguez,41,30.29
28459,Ivan Brown,42,64.83
28460,Frank Jones,62,85.41
28461,Ivan Brown,41,83.16
28462,  Grace Jones  ,46,7.64
28463,Bob Rodriguez,32,76.84
28464,Heidi Williams,20,63.3
28465,Frank Wilson,37,98.32
28466,Judy Wilson,37,11.65
28467,Eve Wilson,24,58.77
28468,Ivan Johnson,76,41.17
28469,Grace Garcia,33,16.61
28470,Bob Davis,45,83.49
28471,  Judy Miller  ,54,15.23
28472,Heidi Smith,65,79.49
28473,Charlie Rodriguez,23,57.03
28474,Charlie Jones,79,21.59
28475,Diana Wilson,79,0.31
28476,Alice Rodriguez,55,15.57
28477,Frank Williams,55,60.61
28478,Eve Garcia,47,91.05
28479,Bob Brown,29,37.53
28480,Eve Davis,62,40.74
28481,Ivan Wilson,29,75.64
28482,Alice Wilson,78,74.4
28483,Frank Johnson,63,16.81
28484,Eve Rodriguez,51,64.51
28485,Judy Williams,49,72.84
28486,  Frank Jones  ,,76.68
28487,Bob Miller,68,13.6
28488,Frank Garcia,36,67.1
28489,Grace Rodriguez,78,52.91
28490,  Charlie Davis  ,59,0.13
28491,Eve Wilson,41,2.52
28492,Bob Garcia,64,32.94
28493,Frank Johnson,29,75.75
28494,Heidi Garcia,49,89.29
28495,Charlie Wilson,78,77.24
28496,Judy Johnson,66,80.01
28497,Judy Johnson,55,75.73
28498,Bob Garcia,67,70.59
28499,Eve Garcia,19,17.95
28500,Eve Johnson,49,60.33
28501,Charlie Wilson,32,43.55
28502,Ivan Miller,65,23.1
28503,Alice Johnson,43,35.05
28504,  Bob Williams  ,67,15.33
28505,Alice Davis,59,36.41
28506,Grace Rodriguez,76,98.34
28507,Frank Miller,23,79.05
28508,Judy Miller,18,68.36
28509,  Judy Rodriguez  ,33,56.68
28510,Grace Garcia,51,68.4
28511,Judy Miller,79,57.19
28512,Judy Williams,73,92.18
28513,Judy Wilson,37,41.27
28514,Diana Johnson,59,17.03
28515,Bob Johnson,58,12.1
28516,Bob Rodriguez,66,32.32
28517,Eve Miller,29,89.78
28518,Frank Smith,72,92.2
28519,Judy Johnson,53,92.57
28520,Grace Smith,32,27.49
28521,  Heidi Miller  ,54,63.43
28522,Eve Smith,46,16.2
28523,Judy Jones,69,61.75
28524,Grace Wilson,65,53.55
28525,  Grace Johnson  ,64,86.89
28526,Eve Brown,68,61.49
28527,Eve Johnson,74,44.1
28528,Frank Jones,42,42.7
28529,Grace Johnson,66,98.35
28530,Judy Williams,34,86.34
28531,Frank Miller,52,40.75
28532,Alice Wilson,64,12.15
28533,Bob Smith,41,56.72
28534,Heidi Jones,66,81.13
28535,Bob Smith,30,30.46
28536,Grace Jones,60,95.17
28537,Bob Williams,50,30.67
28538,Alice Smith,75,24.57
28539,  Frank Smith  ,44,37.78
28540,Diana Brown,29,54.47
28541,Grace Davis,55,0.96
28542,Bob Miller,32,29.86
28543,Bob Miller,68,83.93
28544,Bob Johnson,68,70.63
28545,Heidi Garcia,56,21.4
28546,Heidi Jones,20,82.28
28547,Alice Smith,60,17.98
28548,Grace Miller,28,2.43
28549,Charlie Garcia,24,71.1
28550,Charlie Davis,40,15.07
28551,Judy Brown,57,72.33
28552,  Frank Johnson  ,71,90.64
28553,Heidi Rodriguez,57,10.06
28554,  Ivan Smith  ,,67.68
28555,Frank Garcia,80,40.55
28556,Diana Wilson,72,
28557,Eve Rodriguez,78,33.32
28558,Judy Brown,21,41.5
28559,Alice Miller,60,83.95
28560,Heidi Smith,35,67.58
28561,Alice Brown,24,81.48
28562,Ivan Brown,70,97.87
28563,Bob Williams,47,23.77
28564,Heidi Wilson,26,
28565,Judy Smith,31,57.97
28566,Heidi Wilson,24,62.98
28567,Diana Smith,51,56.75
28568,Heidi Williams,62,7.35
28569,Eve Johnson,80,59.41
28570,Grace Brown,43,47.47
28571,Eve Smith,61,86.34
28572,Eve Smith,,96.03
28573,Charlie Miller,19,78.54
28574,Judy Rodriguez,73,97.53
28575,Judy Miller,21,
28576,Diana Rodriguez,58,18.74
28577,  Eve Jones  ,45,98.88
28578,  Judy Rodriguez  ,68,30.28
28579,Diana Garcia,72,
28580,Eve Davis,55,5.3
28581,Eve Brown,20,98.4
28582,Bob Jones,36,20.54
28583,Eve Williams,63,90.52
28584,Alice Johnson,39,62.39
28585,Frank Rodriguez,23,54.97
28586,Frank Wilson,21,18.72
28587,Bob Wilson,49,54.19
28588,Ivan Johnson,76,73.25
28589,Diana Wilson,20,21.41
28590,Heidi Brown,80,16.71
28591,Diana Williams,76,99.7
28592,Ivan Wilson,65,10.84
28593,Grace Miller,72,77.39
28594,Ivan Williams,40,83.8
28595,Bob Smith,75,95.8
28596,Judy Wilson,77,85.43
28597,Eve Williams,31,62.55
28598,  Bob Rodriguez  ,44,49.95
28599,Frank Garcia,51,36.81
28600,Eve Rodriguez,66,17.15
28601,Bob Miller,61,10.02
28602,Diana Smith,65,82.51
28603,Frank Miller,64,75.3
28604,Eve Davis,64,81.57
28605,Eve Garcia,43,94.15
28606,Charlie Brown,24,13.8
28607,Alice Johnson,53,85.17
28608,Alice Davis,45,6.69
28609,Judy Johnson,60,36.62
28610,Judy Smith,33,96.64
28611,Eve Rodriguez,35,44.18
28612,Alice Jones,67,29.07
28613,Alice Smith,30,25.31
28614,Bob Williams,25,24.69
28615,Alice Smith,58,98.05
28616,Charlie Rodriguez,19,61.35
28617,  Heidi Jones  ,42,85.88
28618,  Ivan Davis  ,54,35.79
28619,Judy Smith,76,76.19
28620,  Ivan Rodriguez  ,70,21.31
28621,Diana Williams,23,74.64
28622,Bob Miller,28,2.06
28623,Bob Smith,64,71.88
28624,  Heidi Miller  ,72,29.73
28625,Frank Smith,41,3.01
28626,Diana Brown,30,68.35
28627,Charlie Davis,51,47.24
28628,Ivan Davis,70,49.88
28629,Frank Davis,31,5.77
28630,Grace Jones,39,
28631,Eve Davis,73,8.33
28632,Judy Johnson,22,63.93
28633,Judy Rodriguez,63,50.29
28634,Heidi Johnson,28,14.92
28635,Eve Brown,71,1.52
28636,Bob Wilson,28,65.84
28637,Judy Jones,46,13.75
28638,Frank Rodriguez,44,15.96
28639,Alice Brown,78,1.89
28640,Ivan Garcia,42,56.47
28641,Alice Wilson,39,20.01
28642,  Heidi Wilson  ,59,1.86
28643,Frank Jones,21,55.51
28644,Bob Wilson,59,
28645,Charlie Davis,40,8.29
28646,Grace Smith,74,74.46
28647,Bob Johnson,36,99.82
28648,Judy Smith,77,92.18
28649,Judy Johnson,65,22.02
28650,Frank Garcia,67,39.01
28651,Diana Rodriguez,18,94.41
28652,  Judy Wilson  ,73,48.69
28653,Ivan Miller,63,39.08
28654,Frank Johnson,74,60.84
28655,Charlie Smith,26,67.12
28656,Judy Smith,39,44.36
28657,Alice Jones,66,29.49
28658,Judy Rodriguez,74,
28659,Grace Jones,73,44.1
28660,Frank Wilson,,48.53
28661,Judy Smith,51,60.8
28662,  Grace Brown  ,71,37.63
28663,  Ivan Garcia  ,26,12.83
28664,Ivan Brown,59,21.91
28665,Alice Miller,22,9.19
28666,Eve Wilson,63,83.11
28667,Judy Johnson,65,35.0
28668,Frank Garcia,38,55.51
28669,Ivan Smith,51,52.71
28670,Bob Miller,49,1.0
28671,Judy Williams,51,58.99
28672,Eve Miller,27,59.99
28673,Judy Brown,,77.12
28674,Heidi Miller,68,59.82
28675,Heidi Jones,21,11.24
28676,Heidi Rodriguez,58,56.06
28677,Bob Jones,36,87.09
28678,Judy Wilson,74,64.76
28679,Ivan Miller,45,66.68
28680,  Alice Williams  ,74,45.74
28681,Diana Jones,51,4.44
28682,Eve Rodriguez,53,96.48
28683,Diana Williams,45,95.74
28684,Frank Jones,24,94.24
28685,Grace Williams,31,
28686,Grace Garcia,37,49.73
28687,Judy Rodriguez,35,75.31
28688,Bob Wilson,46,72.18
28689,Eve Jones,37,35.11
28690,Diana Jones,65,70.36
28691,Diana Jones,57,6.6
28692,Ivan Wilson,27,44.83
28693,Bob Davis,59,20.57
28694,Grace Johnson,44,77.33
28695,Frank Rodriguez,36,67.62
28696,Ivan Williams,34,51.54
28697,Heidi Wilson,36,9.53
28698,Judy Williams,62,71.89
28699,Bob Johnson,49,57.8
28700,Frank Wilson,34,26.89
28701,Grace Johnson,34,72.91
28702,Grace Garcia,21,48.88
28703,Bob Wilson,72,65.16
28704,  Frank Wilson  ,66,45.19
28705,Eve Garcia,57,44.74
28706,  Alice Garcia  ,20,93.83
28707,Charlie Johnson,79,28.89
28708,Bob Rodriguez,58,
28709,Diana Smith,62,23.0
28710,Diana Garcia,44,70.03
28711,Grace Johnson,56,88.85
28712,Eve Miller,80,87.34
28713,Judy Jones,53,35.02
28714,Ivan Smith,59,25.34
28715,Frank Garcia,74,43.26
28716,Heidi Brown,76,22.02
28717,Bob Garcia,34,44.47
28718,Charlie Davis,23,73.64
28719,Eve Davis,20,46.67
28720,Diana Miller,36,60.73
28721,Alice Miller,37,44.82
28722,Heidi Wilson,27,27.08
28723,Frank Rodriguez,34,53.81
28724,Alice Johnson,19,59.3
28725,Ivan Garcia,69,95.6
28726,Frank Wilson,67,34.61
28727,Diana Williams,27,92.99
28728,Alice Smith,47,27.15
28729,Diana Jones,53,97.6
28730,Eve Miller,76,80.03
28731,Judy Brown,42,98.09
28732,Alice Wilson,76,6.35
28733,Diana Johnson,27,49.32
28734,Bob Rodriguez,69,66.36
28735,Judy Williams,59,94.81
28736,Eve Davis,58,
28737,  Judy Davis  ,49,87.43
28738,Bob Davis,23,5.8
28739,Alice Davis,62,89.74
28740,  Judy Davis  ,65,11.77
28741,Charlie Rodriguez,67,43.86
28742,Bob Johnson,50,8.96
28743,Alice Jones,65,6.74
28744,Eve Miller,45,69.01
28745,Heidi Miller,19,4.96
28746,Ivan Miller,63,6.37
28747,Heidi Rodriguez,44,9.64
28748,Frank Miller,75,99.87
28749,Charlie Johnson,29,66.04
28750,Ivan Smith,62,72.72
28751,Ivan Wilson,55,93.62
28752,Grace Rodriguez,77,75.65
28753,Charlie Williams,24,77.87
28754,Bob Davis,20,
28755,Charlie Davis,75,76.44
28756,Judy Williams,27,41.04
28757,Heidi Miller,55,
28758,  Eve Jones  ,26,15.29
28759,  Frank Jones  ,67,14.02
28760,Grace Johnson,20,49.39
28761,Ivan Miller,46,62.62
28762,Grace Davis,55,29.15
28763,Bob Wilson,63,82.73
28764,Ivan Williams,18,73.35
28765,Grace Jones,39,17.09
28766,Grace Smith,48,80.49
28767,Charlie Garcia,51,93.25
28768,Frank Rodriguez,51,45.58
28769,Alice Garcia,23,48.96
28770,Diana Rodriguez,35,68.9
28771,Diana Garcia,48,56.89
28772,Bob Davis,18,54.49
28773,Heidi Davis,18,78.54
28774,Charlie Rodriguez,71,51.93
28775,  Charlie Smith  ,45,78.51
28776,Judy Miller,75,88.62
28777,Grace Brown,29,85.01
28778,Charlie Davis,29,24.54
28779,Judy Smith,34,92.5
28780,Diana Brown,60,9.01
28781,Charlie Williams,77,55.32
28782,Alice Smith,46,53.29
28783,Heidi Williams,69,17.61
28784,  Alice Smith  ,23,98.73
28785,Judy Smith,60,38.88
28786,Ivan Miller,80,36.71
28787,Judy Miller,64,13.67
28788,Frank Rodriguez,43,8.77
28789,Grace Rodriguez,29,96.06
28790,Judy Brown,56,62.72
28791,Charlie Brown,65,30.85
28792,Alice Garcia,50,84.56
28793,Diana Wilson,50,0.96
28794,  Grace Smith  ,44,65.64
28795,Alice Rodriguez,62,33.57
28796,Diana Davis,51,42.82
28797,Ivan Garcia,20,
28798,Grace Wilson,41,84.59
28799,Frank Davis,40,19.36
28800,Ivan Miller,62,22.51
28801,Frank Brown,24,49.25
28802,Ivan Garcia,31,77.44
28803,Heidi Jones,25,6.06
28804,Eve Wilson,35,58.99
28805,Bob Smith,41,64.14
28806,Bob Johnson,18,68.62
28807,  Ivan Rodriguez  ,49,27.26
28808,Ivan Jones,57,84.55
28809,Grace Brown,66,31.36
28810,Judy Jones,66,57.94
28811,Diana Miller,59,75.51
28812,Bob Williams,63,3.73
28813,Alice Smith,52,74.46
28814,Alice Johnson,71,40.48
28815,Heidi Miller,67,32.82
28816,Grace Williams,59,20.29
28817,Eve Davis,25,85.43
28818,Charlie Davis,79,97.31
28819,Ivan Miller,42,33.39
28820,Eve Jones,41,41.19
28821,Eve Davis,59,41.98
28822,Alice Miller,27,95.74
28823,Alice Williams,75,5.0
28824,Diana Garcia,50,34.36
28825,Frank Smith,36,69.16
28826,Judy Wilson,23,34.13
28827,Eve Rodriguez,19,
28828,Alice Davis,51,15.43
28829,Grace Wilson,58,28.4
28830,Eve Brown,29,8.89
28831,Eve Miller,74,23.91
28832,Alice Jones,70,59.97
28833,Alice Garcia,69,38.29
28834,Diana Brown,78,48.92
28835,Heidi Rodriguez,61,67.01
28836,Ivan Williams,31,71.26
28837,Charlie Wilson,76,75.31
28838,Ivan Brown,74,86.59
28839,Charlie Jones,48,46.29
28840,Diana Wilson,36,
28841,Ivan Wilson,76,27.51
28842,Charlie Johnson,77,70.77
28843,Diana Wilson,72,85.23
28844,Judy Jones,19,61.52
28845,Frank Brown,59,11.96
28846,Heidi Wilson,48,45.57
28847,Bob Brown,18,93.53
28848,Grace Williams,67,72.14
28849,Eve Smith,68,4.99
28850,Charlie Williams,42,34.66
28851,Judy Brown,32,15.75
28852,Alice Davis,48,69.67
28853,  Heidi Smith  ,24,77.7
28854,  Grace Brown  ,24,52.37
28855,Grace Williams,68,19.68
28856,Bob Williams,52,71.42
28857,Grace Jones,52,62.02
28858,Bob Brown,43,61.23
28859,Charlie Johnson,50,11.0
28860,Alice Smith,23,49.69
28861,Bob Johnson,,97.4
28862,Charlie Rodriguez,19,4.23
28863,Grace Miller,43,63.58
28864,Eve Rodriguez,52,57.26
28865,Judy Davis,52,84.51
28866,Judy Garcia,36,53.55
28867,Diana Jones,56,
28868,Grace Rodriguez,43,96.06
28869,  Ivan Williams  ,49,73.75
28870,Heidi Miller,65,49.17
28871,Bob Johnson,59,57.4
28872,Grace Garcia,78,90.63
28873,Grace Jones,38,29.49
28874,Diana Garcia,27,5.67
28875,Frank Williams,72,51.3
28876,Heidi Davis,73,32.02
28877,Heidi Rodriguez,35,86.3
28878,Ivan Smith,45,15.85
28879,  Bob Brown  ,68,9.65
28880,Grace Brown,53,90.89
28881,  Charlie Miller  ,56,93.17
28882,Charlie Smith,58,58.2
28883,Alice Williams,26,17.16
28884,Grace Williams,23,11.43
28885,Judy Johnson,47,80.12
28886,Diana Williams,73,82.07
28887,Alice Garcia,23,56.08
28888,Alice Smith,45,46.45
28889,  Heidi Smith  ,43,71.57
28890,Bob Johnson,44,53.3
28891,Ivan Johnson,60,92.78
28892,Ivan Brown,60,86.18
28893,Frank Smith,67,62.63
28894,Eve Miller,25,33.32
28895,Charlie Smith,57,23.52
28896,  Grace Williams  ,65,42.86
28897,Charlie Brown,77,69.66
28898,Alice Rodriguez,28,96.54
28899,Diana Williams,71,2.96
28900,Alice Garcia,33,
28901,Eve Brown,19,46.05
28902,Charlie Wilson,77,2.39
28903,Heidi Smith,23,48.22
28904,Frank Brown,45,48.04
28905,Alice Davis,54,57.47
28906,Eve Johnson,36,76.7
28907,Bob Williams,28,47.13
28908,Charlie Williams,49,48.01
28909,Diana Davis,26,67.18
28910,  Alice Jones  ,43,19.89
28911,  Ivan Brown  ,62,78.27
28912,Diana Johnson,73,20.16
28913,Bob Smith,64,7.56
28914,Grace Brown,55,29.52
28915,Ivan Johnson,43,55.5
28916,Bob Johnson,72,60.66
28917,  Alice Davis  ,71,40.28
28918,Alice Garcia,34,72.3
28919,Grace Wilson,25,35.72
28920,Grace Brown,79,3.2
28921,Frank Williams,33,
28922,Frank Williams,64,3.54
28923,Frank Johnson,20,0.84
28924,Charlie Jones,65,58.87
28925,  Frank Smith  ,19,2.42
28926,Alice Johnson,37,49.05
28927,Ivan Rodriguez,32,58.74
28928,Bob Brown,56,73.7
28929,Ivan Johnson,48,10.65
28930,Diana Miller,54,71.23
28931,Diana Williams,79,81.54
28932,Charlie Brown,34,47.07
28933,Frank Garcia,42,
28934,Heidi Jones,77,48.86
28935,Judy Rodriguez,65,
28936,Heidi Johnson,,29.12
28937,Charlie Jones,58,81.09
28938,Grace Miller,56,92.05
28939,Judy Smith,22,83.22
28940,  Bob Miller  ,80,17.98
28941,Heidi Johnson,69,48.83
28942,Grace Williams,31,99.93
28943,Frank Rodriguez,61,42.12
28944,Frank Jones,69,0.61
28945,Heidi Johnson,52,50.31
28946,Diana Rodriguez,59,75.98
28947,  Diana Jones  ,22,11.2
28948,  Grace Miller  ,35,64.11
28949,Alice Davis,26,77.61
28950,Diana Rodriguez,19,40.48
28951,Judy Rodriguez,56,54.98
28952,Diana Johnson,40,95.22
28953,  Bob Brown  ,68,58.02
28954,Charlie Rodriguez,77,42.13
28955,  Heidi Johnson  ,44,52.23
28956,Eve Smith,77,92.59
28957,Grace Davis,65,94.6
28958,  Charlie Johnson  ,30,41.13
28959,Frank Miller,80,16.92
28960,Eve Johnson,38,16.19
28961,Frank Davis,68,78.25
28962,  Charlie Jones  ,46,75.25
28963,Ivan Smith,51,98.32
28964,Grace Williams,39,74.16
28965,Bob Davis,48,90.41
28966,Alice Smith,73,40.37
28967,Grace Williams,59,6.25
28968,Diana Rodriguez,80,9.01
28969,Eve Jones,62,
28970,Charlie Wilson,19,20.55
28971,Charlie Jones,,72.2
28972,Ivan Smith,36,48.55
28973,Charlie Miller,,14.55
28974,Grace Miller,23,7.13
28975,Bob Garcia,69,57.17
28976,Eve Smith,30,94.93
28977,Eve Brown,61,72.75
28978,  Ivan Smith  ,23,58.88
28979,Grace Brown,49,86.39
28980,Eve Smith,21,
28981,Eve Williams,62,14.83
28982,Grace Miller,37,40.45
28983,  Heidi Garcia  ,44,43.78
28984,Charlie Johnson,60,95.88
28985,Diana Wilson,45,41.5
28986,Grace Smith,69,39.71
28987,  Diana Smith  ,64,54.85
28988,Eve Brown,69,13.66
28989,Alice Johnson,47,
28990,Grace Garcia,31,64.78
28991,Charlie Brown,45,19.49
28992,Judy Davis,18,36.91
28993,Diana Brown,25,2.25
28994,Ivan Williams,41,50.22
28995,Bob Brown,29,93.95
28996,Heidi Johnson,45,6.98
28997,Eve Williams,29,13.4
28998,Diana Brown,23,70.83
28999,  Eve Wilson  ,19,42.53
29000,Grace Johnson,39,32.78
29001,Judy Johnson,58,88.74
29002,Bob Johnson,61,71.19
29003,Charlie Davis,30,67.53
29004,Charlie Williams,65,51.16
29005,Judy Rodriguez,57,11.85
29006,Bob Johnson,72,20.24
29007,Grace Johnson,26,17.72
29008,Alice Garcia,27,2.04
29009,Bob Smith,79,53.93
29010,Grace Davis,30,45.4
29011,Judy Smith,63,23.82
29012,Alice Garcia,35,87.62
29013,Bob Jones,,75.02
29014,Grace Williams,69,91.34
29015,Bob Jones,31,33.71
29016,Ivan Williams,66,2.86
29017,Eve Rodriguez,22,53.57
29018,Judy Rodriguez,56,13.11
29019,Charlie Wilson,77,51.56
29020,Eve Wilson,45,51.61
29021,Judy Rodriguez,52,52.08
29022,Diana Miller,34,89.49
29023,Grace Davis,41,0.32
29024,Heidi Wilson,80,39.67
29025,Judy Jones,55,24.84
29026,Charlie Jones,19,92.49
29027,Alice Smith,,22.17
29028,Diana Rodriguez,29,80.8
29029,Alice Brown,71,39.87
29030,Diana Garcia,30,33.34
29031,Diana Wilson,29,95.39
29032,  Diana Wilson  ,19,72.72
29033,Frank Brown,69,51.84
29034,Grace Rodriguez,29,68.81
29035,Bob Garcia,42,91.56
29036,Diana Wilson,61,91.0
29037,Heidi Jones,48,39.21
29038,Frank Davis,,2.66
29039,Eve Brown,65,51.83
29040,Judy Wilson,56,
29041,Charlie Jones,45,92.76
29042,Charlie Wilson,59,51.84
29043,Grace Brown,24,84.05
29044,Heidi Brown,22,
29045,Charlie Wilson,,57.85
29046,Grace Jones,20,72.36
29047,Bob Jones,35,56.88
29048,Alice Rodriguez,18,95.2
29049,Alice Brown,59,30.6
29050,  Charlie Wilson  ,32,44.93
29051,Diana Williams,20,77.7
29052,Diana Davis,31,75.25
29053,Diana Davis,48,58.88
29054,Frank Wilson,31,12.57
29055,Bob Miller,49,11.93
29056,Alice Garcia,26,
29057,Diana Johnson,65,80.89
29058,Bob Wilson,45,64.47
29059,  Diana Jones  ,40,34.37
29060,  Frank Garcia  ,68,
29061,Ivan Williams,33,71.08
29062,Ivan Davis,34,51.92
29063,Judy Wilson,80,0.82
29064,Diana Johnson,20,78.38
29065,  Ivan Rodriguez  ,75,29.37
29066,Ivan Rodriguez,19,60.86
29067,Ivan Davis,35,67.97
29068,Charlie Davis,47,8.0
29069,Eve Jones,58,39.55
29070,Judy Miller,49,
29071,Bob Wilson,30,88.83
29072,Heidi Williams,60,51.34
29073,Grace Jones,54,17.41
29074,Alice Brown,59,17.67
29075,Diana Brown,58,17.26
29076,Bob Johnson,18,26.02
29077,Charlie Davis,50,96.96
29078,Diana Johnson,39,3.87
29079,Frank Jones,51,
29080,Charlie Miller,18,86.36
29081,Charlie Smith,46,27.81
29082,  Charlie Wilson  ,35,53.41
29083,  Heidi Davis  ,60,89.25
29084,Heidi Williams,59,0.51
29085,Alice Rodriguez,21,20.8
29086,Bob Brown,80,51.86
29087,Judy Davis,24,8.17
29088,Charlie Garcia,58,71.73
29089,Judy Garcia,66,63.17
29090,  Charlie Davis  ,78,94.63
29091,  Ivan Miller  ,44,69.6
29092,Eve Brown,53,70.17
29093,Charlie Jones,54,29.9
29094,Diana Garcia,47,94.85
29095,Frank Davis,21,22.05
29096,Ivan Brown,45,78.66
29097,Heidi Garcia,25,19.22
29098,  Ivan Smith  ,36,76.3
29099,Diana Johnson,64,7.97
29100,Eve Rodriguez,20,42.58
29101,  Ivan Davis  ,74,82.83
29102,Eve Garcia,76,6.26
29103,Bob Brown,46,47.66
29104,Bob Brown,31,74.5
29105,Ivan Davis,58,29.61
29106,Heidi Wilson,55,93.19
29107,  Heidi Johnson  ,52,67.26
29108,Diana Williams,51,25.79
29109,Charlie Garcia,69,39.63
29110,Charlie Wilson,61,67.73
29111,Diana Jones,62,4.1
29112,Frank Miller,30,13.76
29113,Heidi Johnson,38,12.55
29114,Heidi Brown,49,68.23
29115,Frank Johnson,39,44.36
29116,Judy Miller,74,47.22
29117,Alice Davis,67,34.86
29118,Grace Miller,56,98.08
29119,Ivan Garcia,59,45.14
29120,  Heidi Williams  ,52,21.17
29121,  Ivan Johnson  ,50,99.82
29122,Alice Johnson,62,46.52
29123,Charlie Davis,33,71.76
29124,Diana Williams,38,14.24
29125,Diana Miller,61,39.0
29126,Judy Garcia,30,41.62
29127,Frank Johnson,42,4.94
29128,Judy Miller,31,90.7
29129,Alice Davis,37,80.57
29130,  Frank Williams  ,66,45.82
29131,Eve Williams,57,44.51
29132,Diana Davis,45,7.14
29133,Heidi Rodriguez,58,43.64
29134,Eve Jones,54,54.19
29135,Charlie Wilson,23,29.06
29136,Judy Brown,68,26.5
29137,Frank Miller,50,95.42
29138,Diana Miller,27,49.14
29139,Bob Davis,63,64.33
29140,Ivan Wilson,48,21.27
29141,Eve Johnson,78,58.95
29142,Eve Smith,68,89.23
29143,Charlie Brown,65,99.98
29144,Heidi Davis,29,18.66
29145,Frank Wilson,40,47.68
29146,Bob Johnson,39,96.13
29147,Heidi Johnson,25,7.0
29148,Alice Jones,22,60.41
29149,Frank Wilson,50,48.96
29150,Frank Williams,31,25.72
29151,Heidi Smith,59,73.4
29152,Grace Davis,68,42.47
29153,Charlie Miller,35,89.07
29154,Charlie Williams,33,78.87
29155,Frank Smith,45,2.8
29156,Bob Wilson,21,99.65
29157,Diana Davis,40,68.08
29158,Judy Johnson,41,71.38
29159,Charlie Johnson,62,68.32
29160,Judy Brown,24,66.34
29161,Judy Rodriguez,28,82.86
29162,Judy Johnson,47,45.87
29163,Diana Smith,77,98.94
29164,Charlie Williams,20,47.68
29165,Charlie Smith,20,
29166,Bob Wilson,59,4.05
29167,Frank Williams,49,
29168,Bob Williams,68,19.78
29169,Alice Williams,27,99.26
29170,Bob Garcia,29,9.02
29171,Heidi Johnson,47,71.36
29172,Alice Garcia,28,18.96
29173,Charlie Jones,24,73.25
29174,Ivan Brown,71,14.75
29175,Charlie Smith,22,43.26
29176,  Eve Miller  ,59,37.79
29177,Ivan Davis,36,12.6
29178,Ivan Williams,39,40.98
29179,Frank Johnson,20,33.1
29180,Grace Smith,26,
29181,  Eve Smith  ,59,77.89
29182,Grace Miller,,
29183,  Grace Brown  ,48,64.79
29184,Bob Rodriguez,63,32.1
29185,Alice Smith,19,44.43
29186,Heidi Williams,,66.57
29187,Judy Williams,22,38.44
29188,Judy Brown,65,8.62
29189,Charlie Rodriguez,58,97.44
29190,Frank Brown,50,56.17
29191,Heidi Brown,66,83.1
29192,Judy Garcia,36,49.87
29193,Judy Wilson,80,13.73
29194,Judy Smith,61,23.54
29195,Bob Wilson,60,
29196,Heidi Smith,62,19.61
29197,Bob Miller,59,30.26
29198,Ivan Williams,25,89.73
29199,Heidi Smith,72,41.68
29200,Grace Smith,74,86.15
29201,Grace Smith,65,60.0
29202,Charlie Smith,44,70.26
29203,Diana Miller,41,66.85
29204,Charlie Johnson,56,99.6
29205,Eve Johnson,55,28.88
