name,value,category,date
Grace Davis,535.99,B,2023-05-17
Alice Rodriguez,463.94,B,2024-03-28
Grace Smith,240.15,B,2024-05-09
Grace Brown,553.67,D,2025-01-11
Charlie Johnson,236.05,A,2020-01-21
Bob Davis,310.17,B,2021-05-09
Diana Jones,583.06,C,2021-01-16
Ivan Williams,975.28,C,2021-07-29
Eve Rodriguez,893.96,B,2025-08-18
Alice Jones,305.48,A,2023-09-29
Ivan Garcia,527.54,D,2021-02-21
Diana Davis,18.58,B,2024-03-31
Bob Johnson,384.41,B,2026-04-18
Diana Jones,953.88,C,2024-11-29
Alice Jones,585.73,A,2026-05-05
Frank Smith,89.85,C,2026-09-20
Diana Davis,978.35,D,2020-09-03
Ivan Johnson,582.96,C,2021-10-25
Heidi Rodriguez,220.31,D,2020-08-13
Bob Davis,511.49,C,2025-10-15
Ivan Garcia,46.14,A,2023-06-12
Bob Davis,599.6,A,2022-11-02
Diana Johnson,603.0,C,2020-11-11
Ivan Davis,972.2,C,2025-02-09
Eve Davis,99.48,B,2025-03-18
Alice Garcia,503.46,A,2022-04-08
Bob Davis,806.0,D,2026-06-07
Eve Davis,296.29,A,2025-05-28
Judy Jones,818.07,A,2025-10-05
Frank Davis,149.39,A,2020-07-14
Charlie Brown,50.13,B,2022-07-17
Frank Jones,878.81,D,2025-09-14
Ivan Miller,727.56,A,2024-09-23
Eve Jones,36.71,A,2022-07-21
Bob Rodriguez,601.68,B,2026-10-12
Alice Davis,147.91,B,2023-04-05
Ivan Johnson,439.03,A,2025-10-21
Frank Smith,489.25,C,2024-11-09
Alice Davis,211.19,D,2021-06-05
Alice Rodriguez,755.31,C,2026-12-25
Eve Brown,644.39,B,2021-03-15
Bob Garcia,957.55,C,2020-11-10
Diana Smith,111.9,D,2022-02-13
Ivan Miller,326.63,C,2023-09-16
Heidi Garcia,495.37,A,2021-05-16
Bob Garcia,105.45,A,2022-01-17
Diana Miller,260.48,B,2021-06-16
Bob Jones,136.43,B,2023-10-22
Frank Smith,119.68,C,2021-06-09
Ivan Garcia,901.9,B,2021-07-05
Heidi Davis,515.81,B,2023-12-26
Grace Brown,647.46,D,2026-06-18
Grace Davis,153.98,A,2021-10-17
Bob Davis,729.42,A,2025-05-06
Eve Johnson,423.48,B,2021-12-25
Heidi Jones,721.36,D,2023-04-11
Grace Jones,9.76,C,2026-05-16
Judy Rodriguez,811.92,D,2024-06-23
Frank Jones,555.89,D,2023-09-10
Judy Garcia,642.44,A,2021-06-08
Ivan Rodriguez,358.13,B,2021-07-09
Grace Williams,948.9,B,2026-04-07
Grace Miller,79.97,D,2026-04-08
Bob Williams,966.8,C,2022-03-15
Grace Rodriguez,46.32,A,2025-12-01
Charlie Johnson,279.34,A,2022-08-03
Bob Williams,59.13,C,2022-05-24
Ivan Davis,703.6,A,2025-11-03
Judy Brown,642.94,B,2020-09-23
Ivan Jones,449.76,A,2021-10-22
Bob Wilson,954.96,D,2025-11-30
Alice Rodriguez,931.9,D,2020-01-31
Charlie Davis,433.66,D,2020-10-19
Ivan Jones,642.44,A,2024-09-04
Grace Davis,132.66,C,2020-01-30
Ivan Smith,502.92,C,2023-01-18
Judy Wilson,574.72,D,2020-04-08
Diana Wilson,444.58,D,2026-03-31
Diana Johnson,102.02,B,2023-07-29
Alice Johnson,969.02,A,2023-06-21
Charlie Williams,888.68,A,2021-04-15
Judy Rodriguez,998.71,B,2023-09-06
Ivan Rodriguez,213.91,C,2021-04-06
Eve Miller,427.0,B,2021-02-13
Heidi Jones,693.27,A,2026-07-21
Judy Rodriguez,163.58,B,2022-05-09
Alice Jones,988.89,C,2022-05-11
Ivan Jones,490.1,A,2022-07-03
Heidi Miller,768.48,D,2023-08-25
Alice Johnson,382.71,D,2022-12-18
Judy Rodriguez,519.2,A,2022-11-26
Ivan Smith,226.43,B,2021-07-25
Diana Brown,755.79,D,2025-02-17
Charlie Smith,810.39,A,2020-06-30
Ivan Brown,601.32,C,2021-03-24
Eve Garcia,46.33,A,2023-12-13
Frank Johnson,418.61,C,2025-03-16
Heidi Wilson,447.45,B,2022-04-20
Heidi Garcia,444.56,C,2024-06-23
Charlie Smith,983.05,B,2025-01-07
Frank Davis,119.47,D,2022-01-17
Eve Johnson,160.25,D,2021-02-05
Eve Garcia,799.98,D,2020-09-01
Heidi Garcia,512.85,D,2026-09-05
Bob Miller,125.61,D,2021-10-06
Eve Miller,997.65,C,2021-02-17
Bob Williams,619.11,C,2021-11-03
Alice Miller,959.94,A,2025-04-25
Eve Smith,792.69,A,2020-12-29
Frank Smith,441.97,B,2024-04-05
Eve Jones,144.63,D,2023-11-07
Heidi Johnson,971.36,A,2022-03-13
Grace Williams,599.62,A,2024-03-21
Frank Garcia,929.88,A,2022-06-14
Charlie Jones,978.08,B,2022-02-27
Grace Wilson,592.65,A,2021-06-17
Charlie Wilson,619.83,C,2020-02-13
Alice Brown,136.62,A,2022-07-14
Frank Brown,795.63,C,2022-07-07
Heidi Wilson,708.57,B,2026-07-11
Charlie Wilson,438.74,B,2020-03-17
Diana Davis,613.18,A,2021-01-29
Eve Rodriguez,100.57,D,2021-07-01
Eve Johnson,277.45,B,2022-10-30
Alice Jones,415.19,B,2023-02-03
Charlie Wilson,606.06,C,2020-11-16
Charlie Brown,101.64,D,2025-12-25
Eve Jones,295.04,A,2026-02-14
Judy Smith,220.44,B,2023-08-16
Frank Garcia,67.4,C,2026-12-16
Diana Wilson,721.0,C,2023-11-20
Diana Miller,565.91,D,2026-05-16
Heidi Rodriguez,963.34,D,2026-06-20
Frank Brown,560.84,C,2024-09-01
Alice Brown,96.26,B,2024-08-17
Eve Miller,120.27,C,2020-02-11
Eve Johnson,251.19,A,2023-03-05
Grace Johnson,651.41,A,2022-03-06
Eve Jones,242.47,D,2026-08-25
Charlie Smith,910.66,C,2024-01-23
Frank Wilson,677.35,A,2025-11-16
Charlie Garcia,946.35,A,2023-10-01
Bob Brown,222.53,C,2026-01-04
Heidi Brown,37.21,D,2023-12-11
Heidi Brown,719.35,C,2024-03-22
Judy Jones,603.1,C,2022-03-12
Bob Davis,332.17,C,2021-04-20
Grace Miller,793.02,D,2021-09-25
Bob Jones,644.38,A,2026-02-10
Charlie Davis,791.17,B,2021-02-06
Ivan Johnson,265.07,D,2025-05-06
Frank Jones,663.09,A,2021-05-13
Heidi Garcia,809.77,B,2020-06-04
Alice Jones,168.78,C,2025-08-23
Diana Wilson,255.89,C,2020-07-18
Diana Johnson,882.63,C,2022-08-02
Frank Johnson,772.57,D,2023-05-24
Ivan Miller,155.77,A,2023-01-27
Bob Miller,791.06,C,2026-09-14
Alice Johnson,362.38,D,2024-09-23
Bob Miller,714.46,A,2022-12-10
Bob Rodriguez,981.42,A,2025-03-29
Eve Smith,867.38,D,2026-04-03
Judy Brown,418.11,D,2026-05-10
Alice Smith,308.04,B,2022-02-09
Charlie Jones,293.62,A,2020-04-29
Charlie Johnson,164.76,A,2021-08-28
Ivan Williams,848.72,C,2020-07-02
Heidi Rodriguez,657.03,D,2021-04-18
Eve Williams,952.99,D,2025-04-11
Eve Johnson,851.74,B,2023-10-03
Frank Johnson,945.74,C,2021-06-03
Judy Rodriguez,986.14,C,2025-02-06
Ivan Rodriguez,153.03,C,2020-04-30
Alice Jones,545.38,B,2026-02-25
Bob Miller,696.1,C,2023-06-03
Alice Davis,403.04,B,2026-04-10
Judy Williams,124.49,D,2025-01-15
Alice Miller,567.42,A,2024-09-25
Grace Wilson,89.02,C,2024-12-06
Heidi Wilson,599.09,A,2021-05-06
Ivan Davis,707.84,C,2025-02-06
Eve Smith,901.51,D,2025-01-04
Diana Johnson,323.11,D,2025-08-28
Eve Rodriguez,488.01,C,2021-12-06
Frank Miller,93.76,B,2020-06-14
Diana Garcia,607.49,C,2022-04-21
Charlie Smith,73.41,C,2021-03-20
Bob Rodriguez,997.18,D,2023-04-28
Grace Johnson,381.08,A,2025-03-30
Heidi Smith,607.42,C,2025-01-31
Diana Johnson,763.22,C,2020-12-07
Eve Wilson,371.86,A,2020-08-09
Alice Wilson,243.62,B,2026-08-18
Grace Garcia,36.89,D,2026-11-09
Diana Smith,932.91,B,2024-10-19
Ivan Jones,340.61,A,2024-04-21
Grace Garcia,651.43,A,2024-02-12
Ivan Johnson,345.32,B,2020-12-21
Ivan Johnson,239.74,A,2020-12-21
Ivan Johnson,506.87,A,2022-07-24
Eve Johnson,614.94,B,2025-07-24
Alice Williams,631.41,C,2021-03-11
Grace Jones,825.05,C,2025-05-19
Judy Jones,659.66,B,2023-03-17
Eve Rodriguez,155.27,D,2023-06-21
Diana Wilson,730.44,A,2026-06-22
Alice Johnson,514.08,A,2025-07-10
Ivan Williams,684.74,D,2021-07-15
Alice Smith,223.61,C,2023-06-29
Heidi Wilson,858.79,C,2020-07-21
Eve Miller,661.05,A,2021-11-24
Grace Jones,912.3,C,2026-08-28
Judy Brown,144.46,C,2024-01-04
Bob Williams,765.31,C,2023-05-19
Bob Smith,254.72,C,2023-02-11
Grace Johnson,102.92,B,2025-06-28
Frank Garcia,379.17,D,2026-01-09
Bob Johnson,104.04,B,2023-02-26
Grace Wilson,429.89,A,2026-05-25
Alice Wilson,190.25,C,2026-10-28
Ivan Williams,519.41,B,2025-09-17
Ivan Garcia,802.79,D,2025-12-31
Judy Brown,133.66,A,2021-03-19
Bob Miller,761.1,A,2020-10-22
Diana Williams,285.47,C,2025-11-17
Bob Wilson,161.52,C,2024-03-15
Alice Jones,480.44,C,2021-07-29
Bob Wilson,353.95,D,2020-05-05
Eve Johnson,561.33,A,2020-06-12
Diana Johnson,25.22,B,2022-01-04
Bob Garcia,657.3,B,2020-06-30
Alice Brown,82.69,A,2025-08-18
Heidi Jones,861.75,A,2025-02-25
Grace Wilson,999.77,C,2022-07-29
Alice Miller,735.54,C,2026-02-17
Judy Jones,244.6,C,2021-11-09
Frank Williams,55.03,D,2020-09-18
Ivan Smith,835.49,A,2024-01-08
Judy Smith,706.16,B,2022-01-13
Alice Rodriguez,326.62,D,2024-10-28
Judy Brown,696.86,B,2023-06-26
Judy Johnson,662.53,C,2025-07-02
Eve Williams,576.08,D,2022-02-27
Frank Jones,741.95,D,2021-03-07
Ivan Rodriguez,692.5,D,2023-08-19
Diana Johnson,964.12,C,2023-07-21
Frank Rodriguez,216.64,A,2023-10-21
Eve Jones,995.58,A,2021-11-21
Judy Johnson,678.02,A,2020-06-28
Bob Williams,549.25,A,2023-09-27
Frank Williams,835.4,A,2025-03-23
Charlie Garcia,611.41,B,2023-02-25
Alice Davis,817.62,C,2026-03-04
Alice Wilson,859.08,C,2024-10-20
Bob Rodriguez,791.23,C,2025-01-29
Judy Miller,533.9,C,2024-12-04
Frank Johnson,577.8,D,2025-12-05
Bob Jones,276.97,B,2020-03-28
Eve Wilson,868.61,D,2020-12-04
Bob Williams,954.82,C,2025-03-01
Frank Williams,804.49,B,2025-07-13
Ivan Davis,40.97,A,2021-12-17
Bob Brown,690.64,C,2022-03-31
Ivan Brown,477.94,C,2025-10-27
Alice Garcia,875.64,D,2022-09-30
Frank Garcia,561.32,C,2025-05-26
Grace Davis,914.38,B,2026-06-08
Grace Garcia,205.71,C,2022-12-13
Charlie Davis,639.05,C,2021-12-13
Frank Garcia,490.32,D,2021-10-18
Diana Davis,50.02,B,2022-08-21
Eve Jones,489.82,A,2022-05-02
Ivan Miller,817.11,A,2024-11-19
Grace Davis,929.03,A,2020-03-07
Charlie Brown,980.93,C,2022-09-12
Ivan Miller,287.8,D,2021-09-07
Grace Jones,707.98,A,2025-02-08
Grace Wilson,295.27,C,2023-05-29
Diana Brown,389.37,C,2026-08-02
Alice Smith,644.51,B,2021-06-07
Ivan Rodriguez,895.01,D,2021-05-03
Heidi Smith,162.12,B,2022-01-08
Eve Rodriguez,593.74,B,2023-06-26
Diana Wilson,970.13,D,2022-01-21
Diana Smith,610.01,A,2025-09-01
Eve Davis,407.14,D,2024-12-06
Frank Garcia,92.05,A,2021-08-12
Charlie Brown,401.5,B,2020-03-31
Charlie Davis,165.51,B,2023-02-09
Diana Rodriguez,863.26,D,2020-04-11
Diana Rodriguez,85.67,C,2024-10-04
Judy Williams,127.79,D,2024-01-31
Ivan Johnson,480.73,D,2021-11-02
Eve Johnson,644.78,A,2026-10-20
Diana Miller,81.64,D,2022-06-30
Bob Davis,815.34,A,2021-03-21
Ivan Brown,411.92,C,2022-12-25
Alice Rodriguez,87.7,A,2026-11-02
Eve Miller,192.49,C,2020-11-01
Alice Smith,424.48,D,2025-10-25
Eve Miller,330.92,D,2025-01-27
Charlie Jones,101.95,D,2026-06-03
Charlie Garcia,671.96,A,2021-04-19
Frank Wilson,582.59,C,2020-11-07
Eve Wilson,397.56,D,2022-08-18
Diana Wilson,345.68,C,2026-06-24
Frank Johnson,387.58,D,2021-09-14
Charlie Jones,156.43,D,2025-04-24
Diana Jones,287.33,D,2024-09-16
Grace Davis,705.69,D,2021-08-31
Diana Rodriguez,338.39,D,2024-06-28
Frank Wilson,170.77,C,2025-09-15
Diana Brown,107.59,C,2023-01-05
Ivan Smith,507.26,A,2022-07-28
Diana Williams,109.13,D,2020-12-03
Frank Wilson,891.5,B,2026-07-17
Eve Garcia,62.43,A,2025-11-07
Charlie Garcia,547.63,D,2023-05-01
Bob Jones,211.06,C,2025-04-11
Grace Rodriguez,133.08,B,2020-06-16
Judy Davis,347.78,B,2023-02-20
Heidi Miller,943.8,B,2026-12-17
Heidi Smith,233.91,C,2021-04-07
Heidi Smith,954.03,D,2024-12-06
Eve Wilson,152.95,D,2024-05-01
Bob Wilson,822.96,C,2020-08-25
Grace Garcia,458.78,A,2023-11-05
Heidi Garcia,574.24,C,2021-11-07
Eve Davis,880.96,D,2024-11-12
Diana Davis,996.71,A,2024-02-10
Frank Johnson,772.13,B,2026-09-19
Charlie Davis,264.02,D,2020-08-09
Diana Garcia,518.08,C,2023-03-17
Frank Miller,994.87,C,2021-10-27
Judy Johnson,792.9,B,2024-04-28
Bob Jones,637.47,B,2023-01-07
Diana Jones,9.52,C,2025-04-11
Charlie Davis,715.8,C,2020-01-10
Frank Johnson,101.4,D,2022-08-03
Diana Brown,484.32,B,2024-01-22
Grace Miller,530.5,C,2023-04-14
Grace Brown,241.02,B,2026-08-24
Eve Williams,344.99,D,2025-10-22
Bob Garcia,358.08,D,2021-08-30
Grace Brown,374.29,D,2021-05-10
Frank Williams,261.29,B,2022-08-16
Heidi Johnson,10.05,C,2026-10-27
Ivan Rodriguez,863.05,D,2024-05-08
Judy Miller,839.71,D,2025-06-07
Grace Miller,861.94,B,2024-01-29
Charlie Brown,312.74,B,2025-05-30
Grace Jones,72.62,D,2026-03-08
Judy Davis,744.51,A,2026-04-15
Diana Wilson,13.53,B,2024-09-05
Diana Brown,62.81,B,2023-07-22
Grace Jones,153.59,C,2024-04-28
Judy Garcia,198.57,B,2026-07-27
Eve Garcia,2.23,D,2021-01-28
Charlie Jones,830.3,A,2020-04-17
Alice Brown,49.9,A,2021-07-05
Charlie Jones,442.62,D,2025-05-16
Grace Brown,26.78,A,2023-12-05
Judy Williams,585.18,A,2024-11-12
Charlie Garcia,280.84,D,2021-09-10
Frank Jones,951.21,D,2020-02-14
Alice Garcia,186.18,B,2023-07-29
Heidi Miller,675.3,C,2023-01-30
Bob Smith,800.66,D,2023-02-21
Bob Smith,311.01,A,2026-03-16
Grace Smith,512.65,A,2020-04-02
Grace Brown,864.81,D,2022-09-01
Grace Davis,939.64,D,2023-06-14
Judy Brown,265.5,B,2021-07-18
Grace Garcia,787.13,B,2023-05-21
Bob Wilson,261.8,A,2023-07-11
Judy Garcia,388.23,A,2022-05-11
Charlie Davis,550.82,B,2026-01-12
Ivan Garcia,826.75,D,2025-08-08
Judy Miller,810.99,C,2020-07-20
Eve Johnson,793.76,B,2022-08-28
Bob Smith,911.98,D,2022-04-15
Judy Miller,437.77,A,2025-03-31
Heidi Miller,942.55,A,2024-01-04
Charlie Davis,577.0,D,2024-04-23
Grace Smith,636.42,D,2024-12-12
Judy Williams,769.75,C,2020-05-12
Ivan Williams,5.94,A,2023-01-07
Diana Williams,833.96,D,2026-09-24
Judy Rodriguez,297.81,C,2021-01-21
Heidi Johnson,896.02,D,2026-12-25
Frank Brown,431.5,C,2021-08-24
Grace Smith,608.94,A,2025-02-24
Eve Smith,947.0,C,2021-08-13
Grace Johnson,822.96,C,2022-12-18
Alice Brown,989.96,D,2021-06-22
Diana Jones,467.62,A,2023-12-17
Heidi Miller,278.29,C,2021-09-06
Diana Jones,930.71,A,2023-04-22
Alice Johnson,266.76,C,2024-06-19
Heidi Brown,913.57,C,2022-11-08
Grace Miller,431.96,C,2023-01-24
Judy Williams,415.57,D,2024-12-22
Heidi Jones,482.82,C,2026-08-04
Frank Williams,254.15,A,2024-08-28
Frank Miller,754.25,D,2020-01-13
Diana Brown,608.2,C,2020-04-18
Frank Rodriguez,470.55,C,2024-08-29
Ivan Rodriguez,398.82,A,2023-07-06
Charlie Jones,570.6,D,2020-12-23
Judy Williams,759.37,A,2020-03-11
Judy Smith,456.65,B,2026-08-14
Grace Davis,859.72,B,2023-11-09
Heidi Miller,662.62,B,2025-08-22
Grace Miller,384.62,B,2022-02-22
Alice Smith,700.67,A,2026-04-26
Heidi Garcia,970.65,A,2024-11-19
Alice Jones,590.02,B,2020-08-21
Charlie Williams,49.0,C,2026-06-16
Bob Davis,203.02,B,2022-05-02
Eve Rodriguez,603.07,A,2020-04-18
Bob Miller,28.88,B,2026-12-02
Bob Johnson,456.64,B,2026-03-04
Grace Wilson,263.36,C,2023-12-22
Judy Rodriguez,278.07,B,2020-04-21
Alice Smith,284.72,C,2020-06-11
Ivan Rodriguez,885.74,C,2023-07-22
Judy Williams,540.3,A,2022-12-03
Diana Davis,799.01,C,2024-02-20
Judy Johnson,823.74,D,2023-06-02
Ivan Johnson,534.82,A,2020-12-14
Ivan Williams,395.06,C,2025-04-05
Heidi Garcia,499.14,D,2022-01-31
Diana Davis,800.78,A,2020-04-18
Grace Jones,21.89,D,2025-10-06
Eve Davis,969.22,A,2026-10-03
Heidi Smith,226.67,D,2020-03-22
Eve Rodriguez,866.34,C,2024-10-27
Diana Brown,111.12,D,2022-01-22
Diana Johnson,894.52,C,2022-07-16
Charlie Rodriguez,102.92,D,2024-07-20
Eve Jones,461.12,D,2024-03-02
Eve Brown,535.32,B,2023-07-27
Eve Jones,93.7,D,2021-12-12
Ivan Williams,123.11,A,2021-06-04
Judy Brown,534.9,A,2024-12-01
Frank Jones,307.35,A,2022-05-30
Heidi Johnson,947.67,C,2025-08-20
Alice Smith,250.21,D,2020-10-31
Heidi Garcia,256.61,C,2020-11-25
Heidi Miller,844.79,C,2025-10-06
Eve Jones,985.89,A,2020-03-12
Heidi Smith,714.22,D,2020-12-30
Diana Smith,851.41,A,2024-11-25
Ivan Miller,637.29,C,2022-04-25
Bob Williams,17.42,A,2023-10-19
Diana Davis,392.65,D,2022-07-23
Bob Miller,962.9,A,2022-07-19
Heidi Rodriguez,915.22,D,2026-12-06
Ivan Brown,709.83,A,2020-11-03
Charlie Jones,260.81,B,2021-02-17
Bob Johnson,711.2,D,2021-07-14
Grace Miller,550.68,B,2026-09-15
Bob Garcia,8.88,D,2025-02-23
Diana Brown,699.29,D,2026-05-23
Eve Jones,466.53,C,2026-05-10
Charlie Garcia,665.75,A,2021-04-28
Charlie Miller,626.92,B,2026-04-24
Eve Smith,610.5,B,2022-07-13
Judy Rodriguez,692.74,D,2022-11-03
Ivan Smith,792.4,D,2020-05-01
Grace Wilson,330.27,D,2021-11-04
Bob Brown,438.41,D,2023-02-26
Diana Johnson,539.21,D,2026-06-28
Heidi Williams,224.55,C,2025-02-07
Diana Jones,416.9,D,2022-04-10
Bob Davis,298.58,B,2020-09-25
Diana Johnson,459.86,D,2024-04-07
Diana Miller,913.23,A,2020-01-22
Ivan Brown,644.67,D,2021-12-09
Bob Smith,274.82,D,2025-07-15
Frank Brown,52.18,C,2021-05-03
Eve Smith,880.72,C,2021-11-23
Charlie Wilson,369.66,D,2020-01-18
Bob Brown,137.89,B,2026-01-01
Eve Garcia,473.83,A,2024-04-21
Heidi Smith,614.34,B,2020-09-22
Alice Brown,371.09,C,2021-09-10
Charlie Wilson,269.28,B,2020-02-29
Frank Wilson,624.19,B,2022-07-02
Judy Rodriguez,349.88,B,2025-02-20
Eve Jones,694.44,C,2021-03-27
Alice Rodriguez,98.17,C,2025-04-20
Charlie Davis,51.01,B,2022-08-19
Judy Brown,130.05,B,2022-05-09
Judy Davis,575.43,B,2023-06-03
Frank Brown,197.0,C,2026-01-07
Ivan Davis,528.32,C,2026-11-03
Charlie Wilson,42.49,C,2020-07-19
Alice Smith,563.79,C,2020-01-09
Bob Brown,871.36,D,2021-04-26
Alice Smith,304.44,B,2022-12-06
Ivan Wilson,395.85,B,2023-05-23
Ivan Garcia,93.41,B,2026-12-29
Judy Davis,295.74,C,2024-04-27
Ivan Wilson,613.87,B,2023-01-26
Grace Rodriguez,972.01,D,2024-02-11
Heidi Wilson,970.05,C,2024-04-22
Charlie Rodriguez,141.58,A,2025-11-21
Eve Garcia,39.38,D,2023-01-12
Charlie Garcia,889.2,A,2023-12-22
Ivan Miller,513.24,C,2024-05-12
Grace Davis,233.84,D,2024-02-08
Judy Wilson,314.71,A,2026-03-27
Grace Miller,447.46,A,2021-03-27
Ivan Johnson,834.55,C,2020-05-11
Alice Johnson,66.62,B,2023-09-13
Bob Wilson,158.11,B,2022-04-24
Eve Miller,607.1,A,2021-07-24
Diana Miller,557.34,A,2023-07-20
Charlie Miller,473.53,D,2020-11-21
Charlie Garcia,958.93,B,2024-12-06
Eve Rodriguez,607.06,B,2025-01-17
Bob Smith,619.4,C,2024-01-11
Frank Smith,199.06,C,2025-12-11
Diana Wilson,781.13,B,2023-08-18
Heidi Brown,532.39,C,2023-03-07
Grace Brown,730.18,C,2026-08-24
Eve Smith,913.73,C,2026-10-17
Ivan Davis,238.13,D,2025-03-24
Judy Wilson,212.89,A,2021-03-12
Diana Johnson,261.79,B,2021-09-24
Alice Rodriguez,627.71,B,2022-10-22
Alice Rodriguez,283.23,B,2026-09-07
Ivan Wilson,496.57,D,2020-11-12
Eve Garcia,892.76,A,2024-01-21
Eve Rodriguez,907.4,B,2021-04-19
Alice Davis,626.89,D,2024-10-02
Eve Johnson,654.07,A,2020-11-24
Eve Jones,247.88,D,2021-10-15
Judy Miller,755.31,C,2026-06-05
Frank Davis,600.4,C,2024-02-27
Judy Garcia,649.92,A,2025-11-09
Frank Wilson,494.74,A,2020-02-03
Charlie Williams,739.54,A,2025-01-23
Alice Johnson,575.04,D,2021-01-18
Judy Garcia,598.17,C,2021-06-24
Eve Miller,606.0,C,2022-08-15
Ivan Johnson,157.33,A,2025-06-04
Eve Davis,957.65,D,2024-08-21
Heidi Garcia,783.07,C,2021-06-20
Charlie Johnson,257.99,B,2025-02-01
Frank Miller,412.08,A,2022-07-31
Heidi Johnson,951.72,C,2026-02-22
Frank Jones,843.83,C,2024-05-26
Diana Miller,780.74,B,2023-11-24
Frank Miller,326.88,B,2024-11-28
Frank Garcia,330.89,B,2022-11-06
Diana Davis,441.5,C,2023-06-19
Bob Miller,717.79,D,2025-02-07
Alice Wilson,924.65,A,2026-01-29
Frank Johnson,560.86,A,2020-01-04
Bob Miller,230.56,D,2024-03-06
Ivan Johnson,306.13,A,2024-10-01
Judy Brown,145.1,A,2025-07-24
Heidi Williams,343.8,D,2021-10-07
Charlie Davis,299.32,B,2021-03-01
Eve Davis,604.46,C,2024-12-18
Charlie Smith,898.58,B,2021-11-11
Diana Wilson,225.6,A,2025-07-06
Eve Brown,363.3,B,2024-08-16
Grace Smith,371.43,B,2020-04-04
Frank Rodriguez,249.18,B,2026-10-06
Judy Garcia,19.83,B,2026-07-16
Eve Johnson,209.09,C,2025-05-02
Diana Garcia,893.62,A,2026-12-21
Alice Wilson,928.63,C,2022-12-20
Bob Williams,336.42,C,2026-05-30
Alice Johnson,225.87,A,2022-11-28
Diana Miller,758.65,B,2023-01-08
Bob Garcia,28.18,C,2023-12-17
Eve Wilson,903.92,C,2023-05-14
Ivan Williams,779.78,A,2025-06-02
Alice Johnson,480.94,D,2024-06-01
Grace Williams,710.47,C,2024-10-30
Frank Miller,445.15,C,2020-04-30
Heidi Davis,893.16,A,2023-03-21
Heidi Wilson,595.69,D,2021-03-04
Charlie Williams,99.39,A,2020-06-14
Bob Garcia,28.84,B,2026-07-08
Ivan Davis,867.97,C,2023-07-16
Eve Johnson,781.87,C,2021-10-11
Frank Garcia,24.99,A,2025-07-12
Ivan Wilson,684.11,B,2025-10-03
Ivan Brown,78.94,D,2026-11-09
Diana Davis,285.24,D,2021-02-13
Heidi Rodriguez,982.9,D,2024-02-15
Frank Wilson,552.76,B,2022-08-09
Grace Jones,732.25,A,2022-07-14
Alice Smith,833.39,D,2026-02-04
Diana Williams,624.69,A,2021-05-29
Ivan Johnson,426.87,D,2021-10-12
Charlie Miller,773.63,B,2020-12-20
Charlie Garcia,280.11,B,2023-09-17
Charlie Rodriguez,736.49,A,2026-04-28
Heidi Davis,227.36,A,2020-05-27
Heidi Jones,144.91,B,2023-09-16
Judy Williams,424.05,C,2021-02-07
Alice Miller,322.65,C,2025-04-19
Diana Garcia,385.88,B,2020-02-27
Heidi Williams,171.82,A,2020-02-05
Diana Smith,255.99,A,2024-07-07
Diana Brown,29.71,C,2026-03-17
Eve Jones,44.17,C,2025-06-25
Eve Jones,455.8,C,2025-06-25
Alice Brown,504.27,A,2020-12-27
Ivan Williams,562.39,B,2023-10-15
Alice Jones,664.88,B,2022-06-27
Frank Jones,265.91,A,2020-08-10
Eve Jones,368.19,D,2020-08-08
Grace Davis,328.1,A,2023-08-21
Alice Miller,271.22,B,2021-12-28
Charlie Smith,752.45,A,2023-09-23
Grace Garcia,882.44,D,2021-09-08
Judy Williams,748.3,C,2026-07-12
Charlie Jones,424.78,A,2021-03-22
Charlie Williams,340.32,D,2025-05-04
Diana Jones,409.01,D,2023-11-26
Charlie Jones,503.59,A,2026-05-19
Alice Williams,155.96,A,2023-06-09
Bob Brown,413.23,A,2022-05-25
Heidi Williams,859.8,B,2023-05-12
Charlie Brown,551.73,C,2026-02-17
Frank Garcia,127.63,D,2026-07-15
Ivan Johnson,749.4,D,2025-04-27
Diana Davis,370.14,A,2020-01-05
Bob Miller,189.26,B,2025-02-16
Bob Rodriguez,807.41,B,2025-07-08
Judy Rodriguez,442.11,C,2024-02-21
Diana Jones,806.39,B,2023-10-11
Ivan Williams,825.23,A,2025-09-30
Frank Jones,699.14,A,2020-07-14
Grace Rodriguez,847.56,D,2022-06-22
Frank Smith,500.46,B,2022-05-03
Frank Garcia,521.43,D,2025-09-11
Alice Williams,97.51,D,2026-08-24
Judy Wilson,437.6,A,2023-10-23
Grace Garcia,275.2,A,2025-09-18
Judy Smith,397.03,C,2021-06-20
Heidi Garcia,597.56,D,2022-04-03
Charlie Brown,120.01,A,2025-11-01
Charlie Davis,84.09,B,2020-12-06
Grace Garcia,404.86,A,2026-05-21
Eve Jones,979.32,B,2020-05-11
Diana Smith,238.63,B,2023-04-17
Bob Garcia,717.43,D,2022-12-10
Ivan Miller,277.58,D,2025-08-07
Grace Miller,234.16,C,2025-07-14
Frank Wilson,288.21,C,2026-03-06
Charlie Davis,131.79,B,2023-05-19
Eve Williams,795.34,B,2025-05-19
Alice Smith,54.92,B,2020-01-13
Diana Williams,9.87,D,2020-12-17
Heidi Brown,995.25,D,2024-04-08
Grace Wilson,226.06,D,2021-12-06
Bob Garcia,515.57,B,2020-10-10
Charlie Smith,293.83,C,2023-07-05
Charlie Jones,71.83,B,2020-07-30
Ivan Jones,304.6,A,2022-05-02
Charlie Garcia,170.84,D,2021-08-25
